"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"C2orf42",1.17965153341545e-23,1.91330974897718,0.875,0.962,6.86580785478462e-19,"up","C2orf42"
"SCN7A",1.0155248132518e-22,0.838960208267925,0.5,0.528,5.91055751808811e-18,"up","SCN7A"
"N6AMT1",1.38004824003034e-22,1.80847636464461,0.875,0.972,8.03215676662458e-18,"up","N6AMT1"
"DGKB",3.77891428744204e-22,2.27679503132418,0.938,0.934,2.19940369357701e-17,"up","DGKB"
"TTR",4.17737144406748e-22,-1.25228123568817,1,1,2.43131372787615e-17,"down","TTR"
"SMIM6",1.10557326092037e-21,-1.24938630984907,0.854,0.991,6.43465749320874e-17,"down","SMIM6"
"AL391807.1",9.41508869219435e-21,0.508826819615627,0.396,0.472,5.47976992063096e-16,"up","AL391807.1"
"PEX5L",1.80429442249749e-20,2.26554262637468,0.844,0.934,1.05013543978199e-15,"up","PEX5L"
"MPPED2",2.74976114972269e-20,0.964985796825157,0.698,0.877,1.6004159843616e-15,"up","MPPED2"
"NTNG1",4.24662317632067e-20,1.97366947117422,0.667,0.774,2.47161962108215e-15,"up","NTNG1"
"ITGB8",5.42341929865849e-20,1.95409517560103,0.823,0.962,3.15653850020522e-15,"up","ITGB8"
"STON1",5.46243803496702e-20,0.562982724372553,0.583,0.745,3.17924818511151e-15,"up","STON1"
"PTCHD4",1.09565518319541e-19,1.50370172421997,0.781,0.906,6.37693229723391e-15,"up","PTCHD4"
"KLF11",1.51708723360292e-19,1.9002167307076,0.896,0.981,8.82975111701572e-15,"up","KLF11"
"SYNPO2",1.6173268523902e-19,2.39734809055963,0.781,0.934,9.41316574628145e-15,"up","SYNPO2"
"ADD2",7.55561177152246e-19,0.766155017898029,0.385,0.377,4.3975171632615e-14,"up","ADD2"
"IGFBP4",2.21277724374773e-18,2.16671885170507,0.792,0.925,1.28788061140606e-13,"up","IGFBP4"
"NHLH2",3.40971789548815e-18,1.16713560865801,0.615,0.764,1.98452400953201e-13,"up","NHLH2"
"FSTL4",5.20555908214525e-18,1.63796590340983,0.938,0.981,3.02973949699018e-13,"up","FSTL4"
"BMP5",7.70241520882231e-18,1.08289182341702,0.969,0.991,4.48295969983876e-13,"up","BMP5"
"TNFRSF10B",2.0367572847401e-17,1.30926600673512,0.792,0.943,1.18543347486443e-12,"up","TNFRSF10B"
"NAAA",2.0611935715154e-17,1.49273895120933,0.906,0.981,1.19965588249339e-12,"up","NAAA"
"GAS6",2.2228029208976e-17,1.37341041865689,0.75,0.896,1.29371575602082e-12,"up","GAS6"
"MSN",2.93191450351996e-17,1.49648998005191,0.948,0.991,1.70643287933869e-12,"up","MSN"
"LINC01915",2.94522670903321e-17,0.453713623118714,0.396,0.585,1.71418084919151e-12,"up","LINC01915"
"DDX25",3.45133394397656e-17,1.45088363172359,0.927,1,2.00874538207323e-12,"up","DDX25"
"CAMK4",3.61592592999772e-17,0.934432896291939,0.604,0.745,2.10454120977727e-12,"up","CAMK4"
"ACVR1C",4.29706842916087e-17,1.29248783757923,0.958,0.991,2.50097976714021e-12,"up","ACVR1C"
"SPARCL1",4.5418534316415e-17,1.86271426919326,0.719,0.906,2.64344953428399e-12,"up","SPARCL1"
"PURPL",4.90294090422937e-17,0.747696014311657,0.531,0.538,2.85360966507958e-12,"up","PURPL"
"CDKL2",4.93474202133754e-17,1.4792236467327,0.875,0.972,2.87211855125888e-12,"up","CDKL2"
"TLE3",6.94772166740361e-17,1.69973961284405,0.802,0.943,4.04371296486225e-12,"up","TLE3"
"GRIN2A",8.59735442542927e-17,1.49041145440658,0.885,0.972,5.00383222268834e-12,"up","GRIN2A"
